input,output,metadata
"{""question"": ""Compare Vendor A and Vendor B.""}","{""expected_behavior"": ""Compare both objectively using consistent dimensions."", ""required_assertions"": [""all_vendors_covered"", ""consistent_comparison"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis""]}","{""test_id"": ""MC001"", ""category"": ""basic_comparison"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""What are the main differences between Vendor A and Vendor B?""}","{""expected_behavior"": ""Identify meaningful differentiators rather than generic descriptions."", ""required_assertions"": [""all_vendors_covered"", ""consistent_comparison"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis""]}","{""test_id"": ""MC002"", ""category"": ""basic_comparison"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare Vendor A, Vendor B and Vendor C.""}","{""expected_behavior"": ""Cover all three vendors consistently."", ""required_assertions"": [""all_vendors_covered"", ""consistent_comparison"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis""]}","{""test_id"": ""MC003"", ""category"": ""basic_comparison"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare the key capabilities of Vendor A and Vendor B.""}","{""expected_behavior"": ""Compare capabilities using common categories."", ""required_assertions"": [""all_vendors_covered"", ""criteria_covered"", ""consistent_comparison"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC004"", ""category"": ""features"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""What are the strengths of Vendor A compared with Vendor B?""}","{""expected_behavior"": ""Identify strengths without unfairly minimizing Vendor B."", ""required_assertions"": [""all_vendors_covered"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis""]}","{""test_id"": ""MC005"", ""category"": ""strengths"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""What are the weaknesses of Vendor A compared with Vendor B?""}","{""expected_behavior"": ""Provide evidence-supported limitations."", ""required_assertions"": [""all_vendors_covered"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis""]}","{""test_id"": ""MC006"", ""category"": ""weaknesses"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Give me the pros and cons of Vendor A and Vendor B.""}","{""expected_behavior"": ""Provide balanced pros and cons for both."", ""required_assertions"": [""all_vendors_covered"", ""consistent_comparison"", ""factually_grounded"", ""balanced_analysis""]}","{""test_id"": ""MC007"", ""category"": ""pros_cons"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Give me an executive comparison of Vendor A and Vendor B.""}","{""expected_behavior"": ""Provide a concise, decision-oriented executive summary."", ""required_assertions"": [""all_vendors_covered"", ""factually_grounded"", ""balanced_analysis"", ""decision_useful""]}","{""test_id"": ""MC008"", ""category"": ""summary"", ""difficulty"": ""easy"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Create a feature comparison matrix for Vendor A, Vendor B and Vendor C.""}","{""expected_behavior"": ""Use the same dimensions for all vendors and clearly indicate unknowns."", ""required_assertions"": [""all_vendors_covered"", ""criteria_covered"", ""consistent_comparison"", ""missing_data_disclosed"", ""no_hallucination""]}","{""test_id"": ""MC009"", ""category"": ""feature_matrix"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare Vendor A and Vendor B based on integrations.""}","{""expected_behavior"": ""Compare supported integrations without inventing them."", ""required_assertions"": [""all_vendors_covered"", ""criteria_covered"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC010"", ""category"": ""integrations"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which vendor is more suitable for a 5,000-employee enterprise?""}","{""expected_behavior"": ""Consider scalability, governance, integrations, security and support."", ""required_assertions"": [""requirements_aligned"", ""factually_grounded"", ""recommendation_supported"", ""decision_useful""]}","{""test_id"": ""MC011"", ""category"": ""enterprise"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which vendor is better for a 100-person company?""}","{""expected_behavior"": ""Adjust the recommendation to smaller-company requirements."", ""required_assertions"": [""requirements_aligned"", ""factually_grounded"", ""recommendation_supported"", ""decision_useful""]}","{""test_id"": ""MC012"", ""category"": ""small_business"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which vendor would you recommend: Vendor A or Vendor B?""}","{""expected_behavior"": ""Tie the recommendation to explicit criteria."", ""required_assertions"": [""all_vendors_covered"", ""factually_grounded"", ""balanced_analysis"", ""recommendation_supported"", ""requirements_aligned""]}","{""test_id"": ""MC013"", ""category"": ""recommendation"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Reliability is 40%, cost 30%, features 20%, support 10%. Compare Vendor A and Vendor B.""}","{""expected_behavior"": ""Apply weights consistently and explain scoring."", ""required_assertions"": [""criteria_covered"", ""consistent_comparison"", ""factually_grounded"", ""recommendation_supported"", ""decision_useful""]}","{""test_id"": ""MC014"", ""category"": ""weighted_decision"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare Vendor A and Vendor B on functionality, integrations, usability, security and support.""}","{""expected_behavior"": ""Address every requested criterion."", ""required_assertions"": [""all_vendors_covered"", ""criteria_covered"", ""consistent_comparison"", ""factually_grounded""]}","{""test_id"": ""MC015"", ""category"": ""multiple_criteria"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Rank Vendor A, Vendor B and Vendor C for enterprise adoption.""}","{""expected_behavior"": ""Explain ranking methodology and evidence."", ""required_assertions"": [""all_vendors_covered"", ""consistent_comparison"", ""factually_grounded"", ""recommendation_supported""]}","{""test_id"": ""MC016"", ""category"": ""ranking"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which vendor is best if automation is our top priority?""}","{""expected_behavior"": ""Prioritize automation rather than overall popularity."", ""required_assertions"": [""requirements_aligned"", ""factually_grounded"", ""recommendation_supported""]}","{""test_id"": ""MC017"", ""category"": ""use-case_fit"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""We need strong Microsoft integration. Which vendor fits best?""}","{""expected_behavior"": ""Base the recommendation specifically on integration requirements."", ""required_assertions"": [""requirements_aligned"", ""factually_grounded"", ""recommendation_supported"", ""no_hallucination""]}","{""test_id"": ""MC018"", ""category"": ""integration_fit"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which vendor is cheaper, Vendor A or Vendor B?""}","{""expected_behavior"": ""Compare verified pricing only and acknowledge unknowns."", ""required_assertions"": [""factually_grounded"", ""no_hallucination"", ""missing_data_disclosed""]}","{""test_id"": ""MC019"", ""category"": ""cost"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare the total cost of ownership of Vendor A and Vendor B.""}","{""expected_behavior"": ""Consider licensing, implementation, integration, support and operational costs; identify unknowns."", ""required_assertions"": [""criteria_covered"", ""factually_grounded"", ""missing_data_disclosed"", ""assumptions_disclosed"", ""decision_useful""]}","{""test_id"": ""MC020"", ""category"": ""tco"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which solution gives better ROI?""}","{""expected_behavior"": ""Avoid unsupported ROI numbers and explain variables required."", ""required_assertions"": [""factually_grounded"", ""no_hallucination"", ""missing_data_disclosed"", ""assumptions_disclosed""]}","{""test_id"": ""MC021"", ""category"": ""roi"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Give me the annual cost of Vendor A.""}","{""expected_behavior"": ""State that pricing cannot be determined if reliable data is unavailable."", ""required_assertions"": [""factually_grounded"", ""no_hallucination"", ""missing_data_disclosed""]}","{""test_id"": ""MC022"", ""category"": ""pricing_unavailable"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare Vendor A and Vendor B, but information about Vendor B is incomplete.""}","{""expected_behavior"": ""Explicitly identify information gaps."", ""required_assertions"": [""missing_data_disclosed"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC023"", ""category"": ""missing_data"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Does Vendor A support Feature X?""}","{""expected_behavior"": ""Say unknown or not verified rather than infer support."", ""required_assertions"": [""missing_data_disclosed"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC024"", ""category"": ""missing_feature"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
